Timestamp,ID,Day,Height,Weight,Steps,Calories,light_sleep,deep_sleep,rem_sleep
31/12/2021 14:00:07,XoyogQMtou,20211231-14:00:04,1.65,79.00,4262.00,1593.23,16994.00,3540.00,3300.00
31/12/2021 14:03:32,vCTkloMaa0,20211231-14:03:36,1.53,62.00,0.00,1348.23,0.00,0.00,0.00
31/12/2021 14:03:38,WjTSJGdBQj,20211231-14:03:36,1.80,150.00,2528.00,2436.15,0.00,0.00,0.00
31/12/2021 14:06:16,ydun27JYqN,20211231-14:06:19,1.78,83.00,4275.00,1913.95,25560.00,0.00,0.00
31/12/2021 17:27:57,WjTSJGdBQj,20211231-11:59:59,1.80,150.00,2703.00,2639.87,0.00,0.00,0.00
31/12/2021 17:28:23,WjTSJGdBQj,20211231-17:28:21,1.80,150.00,2703.00,2639.87,0.00,0.00,0.00
31/12/2021 17:28:28,WjTSJGdBQj,20211231-17:28:25,1.80,150.00,2703.00,2639.87,0.00,0.00,0.00
31/12/2021 17:28:44,WjTSJGdBQj,20211231-11:59:59,1.80,150.00,2703.00,2639.87,0.00,0.00,0.00
31/12/2021 19:19:25,WPooa9cRhe,20211231-19:19:23,1.63,73.00,7486.00,1868.75,14340.00,7680.00,6480.00
01/01/2022 14:01:28,WPooa9cRhe,20220101-14:01:26,1.63,73.00,6919.00,1871.13,12060.00,3480.00,3360.00
01/01/2022 14:04:13,IzZzhqcNgb,20220101-14:04:11,1.82,89.00,2634.00,1799.48,11220.00,1080.00,6300.00
01/01/2022 14:15:33,WjTSJGdBQj,20220101-14:15:30,1.80,150.00,1899.00,2396.97,13260.00,540.00,0.00
01/01/2022 14:26:00,ydun27JYqN,20220101-14:26:03,1.78,83.00,8883.00,2212.14,17400.00,3960.00,0.00
02/01/2022 11:54:59,4KIVcPBHLi,20220102-11:54:56,1.77,101.00,0.00,1888.23,0.00,0.00,0.00
02/01/2022 14:00:23,XoyogQMtou,20220102-14:00:18,1.65,79.00,7681.00,1665.27,17820.00,1020.00,3600.00
02/01/2022 14:03:19,vCTkloMaa0,20220102-14:03:23,1.53,62.00,0.00,1348.23,0.00,0.00,0.00
02/01/2022 14:04:37,IzZzhqcNgb,20220102-14:04:36,1.82,89.00,1257.00,1799.48,16080.00,2040.00,7440.00
02/01/2022 14:10:30,ydun27JYqN,20220102-14:10:33,1.78,83.00,3107.00,0.00,24240.00,900.00,0.00
02/01/2022 14:58:39,WjTSJGdBQj,20220102-14:58:36,1.80,150.00,1512.00,2443.98,27120.00,540.00,0.00
02/01/2022 18:59:57,ydun27JYqN,20220102-19:00:00,1.78,83.00,5895.00,0.00,24240.00,900.00,0.00
03/01/2022 14:01:24,WjTSJGdBQj,20220103-14:01:22,1.80,150.00,2624.00,2702.55,34860.00,0.00,0.00
03/01/2022 14:03:45,XoyogQMtou,20220103-14:03:43,1.65,79.00,4946.00,1593.23,19221.00,3600.00,1140.00
03/01/2022 14:10:06,IzZzhqcNgb,20220103-14:10:03,1.82,89.00,2214.00,1799.48,13140.00,1680.00,7740.00
